Date,HE,MW
2/2/23,2,4774.195878
2/2/23,3,5963.371485
2/2/23,4,4836.178679
2/2/23,5,4269.489712
2/2/23,6,5487.326005
2/2/23,7,4473.073752
2/2/23,8,6694.882444
2/2/23,9,5969.836231
2/2/23,10,3909.361495
2/2/23,11,3852.340133
2/2/23,12,4715.130684
2/2/23,13,4009.723933
2/2/23,14,4461.641969
2/2/23,15,6445.152161
2/2/23,16,6401.101639
2/2/23,17,7418.852581
2/2/23,18,7385.148648
2/2/23,19,6585.339573
2/2/23,20,7841.650293
2/2/23,21,9140.556097
2/2/23,22,9878.245455
2/2/23,23,9319.445254
2/2/23,24,9237.122192
2/3/23,1,6446.353933
2/3/23,2,8591.801874
2/3/23,3,8589.398527
2/3/23,4,8256.354955
2/3/23,5,6477.300334
2/3/23,6,5641.065576
2/3/23,7,4382.58871
2/3/23,8,3247.294674
2/3/23,9,4123.330942
2/3/23,10,4602.678114
2/3/23,11,3738.459097
2/3/23,12,3763.149393
2/3/23,13,2521.873359
2/3/23,14,1865.329189
2/3/23,15,2484.431058
2/3/23,16,2349.658829
2/3/23,17,1765.594548
2/3/23,18,1794.718546
2/3/23,19,1801.706458
2/3/23,20,2332.346006
2/3/23,21,2323.173008
2/3/23,22,2146.529504
2/3/23,23,1592.370034
2/3/23,24,1850.864805
2/4/23,1,3051.006427
2/4/23,2,3671.820637
2/4/23,3,4812.719334
2/4/23,4,5466.822909
2/4/23,5,5379.532458
2/4/23,6,5163.605581
2/4/23,7,4213.977574
2/4/23,8,5927.39866
2/4/23,9,4974.40329
2/4/23,10,4627.729807
2/4/23,11,6007.701496
2/4/23,12,6764.096893
2/4/23,13,7414.509418
2/4/23,14,7722.528735
2/4/23,15,6721.429296
2/4/23,16,8332.10788
2/4/23,17,7329.010664
2/4/23,18,8230.762021
2/4/23,19,7596.842415
2/4/23,20,8037.462628
2/4/23,21,8259.970655
2/4/23,22,8284.956163
2/4/23,23,8719.992638
2/4/23,24,9545.448822
2/5/23,1,9363.227429
2/5/23,2,9166.496301
2/5/23,3,9189.269719
2/5/23,4,8611.263853
2/5/23,5,8075.392707
2/5/23,6,8226.06328
2/5/23,7,6353.133372
2/5/23,8,7598.488895
2/5/23,9,7265.997448
2/5/23,10,8426.605522
2/5/23,11,7033.649183
2/5/23,12,5794.451661
2/5/23,13,5679.456845
2/5/23,14,6022.023449
2/5/23,15,6963.216865
2/5/23,16,5578.344724
2/5/23,17,5361.809973
2/5/23,18,4944.067306
2/5/23,19,4461.287197
2/5/23,20,6281.446712
2/5/23,21,4220.176175
2/5/23,22,3533.186491
2/5/23,23,4629.759153
2/5/23,24,3783.56553
2/6/23,1,3576.545733
2/6/23,2,2612.875349
2/6/23,3,1848.508442
2/6/23,4,1560.388183
2/6/23,5,1365.570393
2/6/23,6,2004.698293
2/6/23,7,4696.895987
2/6/23,8,3563.639194
2/6/23,9,4894.77451
2/6/23,10,4487.746914
2/6/23,11,5008.160846
2/6/23,12,3447.526762
2/6/23,13,3399.015153
2/6/23,14,4468.586336
2/6/23,15,5398.880788
2/6/23,16,4993.939987
2/6/23,17,6862.82777
2/6/23,18,7624.679949
2/6/23,19,6788.913776
2/6/23,20,7098.723412
2/6/23,21,8285.417845
2/6/23,22,6871.79347
2/6/23,23,7352.721283
2/6/23,24,7964.329942
2/7/23,1,6530.370902
2/7/23,2,7909.21956
2/7/23,3,7621.491662
2/7/23,4,7845.883902
2/7/23,5,7607.317169
2/7/23,6,8212.654827
2/7/23,7,6918.810443
2/7/23,8,7155.009117
2/7/23,9,7305.773207
2/7/23,10,8077.886824
2/7/23,11,7741.643722
2/7/23,12,6869.304045
2/7/23,13,5287.379485
2/7/23,14,6901.68779
2/7/23,15,7404.929337
2/7/23,16,5998.644804
2/7/23,17,5014.778532
2/7/23,18,3411.066686
2/7/23,19,5065.119533
2/7/23,20,5247.068464
2/7/23,21,4568.472025
2/7/23,22,5309.886254
2/7/23,23,4583.300456
2/7/23,24,4605.647841
2/8/23,1,4794.721077
2/8/23,2,2877.84888
2/8/23,3,2103.201824
2/8/23,4,2059.409918
2/8/23,5,885.9753111
2/8/23,6,1501.66895
2/8/23,7,2119.546705
2/8/23,8,1750.140586
2/8/23,9,571.9507573
2/8/23,10,1161.482632
2/8/23,11,619.1775183
2/8/23,12,398.5061137
2/8/23,13,1806.605531
2/8/23,14,1372.886636
2/8/23,15,1006.305442
2/8/23,16,-309.9995223
2/8/23,17,-1170.790956
2/8/23,18,-218.9191491
2/8/23,19,-150.2283786
2/8/23,20,1261.511225
2/8/23,21,2688.25897
2/8/23,22,2269.989422
2/8/23,23,4854.877599
2/8/23,24,5649.145746
2/9/23,1,4306.913697
2/9/23,2,5231.067964
2/9/23,3,4090.817459
2/9/23,4,4802.011933
2/9/23,5,5491.161065
2/9/23,6,7307.177648
2/9/23,7,8827.822177
2/9/23,8,8096.953352
2/9/23,9,7931.115976
2/9/23,10,9075.462176
2/9/23,11,9230.364006
2/9/23,12,8347.714883
2/9/23,13,8028.705128
2/9/23,14,8848.40714
2/9/23,15,8042.032586
2/9/23,16,10081.24926
2/9/23,17,9300.423821
2/9/23,18,8058.08174
2/9/23,19,9077.855239
2/9/23,20,9323.549131
2/9/23,21,8373.409847
2/9/23,22,7513.724271
2/9/23,23,6783.174444
2/9/23,24,6604.226054
2/10/23,1,7209.208318
2/10/23,2,5851.404953
2/10/23,3,6017.194627
2/10/23,4,4629.20974
2/10/23,5,5128.752786
2/10/23,6,5716.803905
2/10/23,7,5447.726878
2/10/23,8,3726.309917
2/10/23,9,4750.25599
2/10/23,10,3206.39999
2/10/23,11,5358.356703
2/10/23,12,4635.159677
2/10/23,13,3802.296438
2/10/23,14,3551.994778
2/10/23,15,5211.886873
2/10/23,16,5176.48948
2/10/23,17,4155.553416
2/10/23,18,5288.949991
2/10/23,19,2723.125631
2/10/23,20,3975.409133
2/10/23,21,5010.513893
2/10/23,22,3620.108044
2/10/23,23,4543.703466
2/10/23,24,2211.691087
2/11/23,1,2444.200942
2/11/23,2,2779.803063
2/11/23,3,2524.59288
2/11/23,4,1969.800078
2/11/23,5,1727.114809
2/11/23,6,2188.460998
2/11/23,7,1098.277882
2/11/23,8,1413.4369
2/11/23,9,570.548097
2/11/23,10,997.0308713
2/11/23,11,1043.841494
2/11/23,12,1065.322114
2/11/23,13,806.6618144
2/11/23,14,1346.590832
2/11/23,15,1484.905337
2/11/23,16,-688.6630113
2/11/23,17,941.9924455
2/11/23,18,206.5347485
